"Rank","Name","Tm","Vote Pts","1st Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","G.P","GS","SV","IP","H.P","HR.P","BB.P","SO","year","league","rankWAR"
6,"Pie Traynor","PIT",28,NA,"35%",3.4,144,569,91,192,3,124,12,28,0.337,0.37,0.462,0.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",15
7,"Hack Wilson","CHC",21,NA,"26%",5.3,145,520,89,163,31,120,4,77,0.313,0.404,0.588,0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",8
8,"Shanty Hogan","NYG",17,NA,"21%",3.9,131,411,48,137,10,71,0,42,0.333,0.406,0.477,0.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",13
9,"Travis Jackson","NYG",16,NA,"20%",5.4,150,537,73,145,14,77,8,56,0.27,0.339,0.436,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",7
10,"Rabbit Maranville","STL",14,NA,"18%",1.2,112,366,40,88,1,34,3,36,0.24,0.31,0.342,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",19
11,"Dazzy Vance","BRO",13,NA,"16%",10.1,38,96,7,17,0,9,0,9,0.177,0.262,0.24,0.501,22,10,2.09,1.063,38,32,2,280.1,226,11,72,200,1928,"NL",1
12,"Chick Hafey","STL",11,NA,"14%",5,138,520,101,175,27,111,8,40,0.337,0.386,0.604,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",10
13,"Rogers Hornsby","BSN",10,NA,"12%",8.8,140,486,99,188,21,94,5,107,0.387,0.498,0.632,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",2
14,"Gabby Hartnett","CHC",6,0,"8%",4.4,120,388,61,117,14,57,3,65,0.302,0.404,0.523,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",11
15,"Taylor Douthit","STL",5,0,"6%",3.1,154,648,111,191,3,43,11,84,0.295,0.384,0.372,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",16
15,"Lance Richbourg","BSN",5,0,"6%",3.8,148,612,105,206,2,52,11,62,0.337,0.399,0.428,0.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",14
15,"Paul Waner","PIT",5,0,"6%",6.8,152,602,142,223,6,86,6,77,0.37,0.446,0.547,0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",3
18,"Del Bissonette","BRO",3,0,"4%",4.4,155,587,90,188,25,106,5,70,0.32,0.396,0.543,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",11
18,"Jake Flowers","BRO",3,0,"4%",0.9,103,339,51,93,2,44,10,47,0.274,0.366,0.36,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",21
18,"Pinky Whitney","PHI",3,0,"4%",1.2,151,585,73,176,10,103,3,36,0.301,0.342,0.426,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",19
18,"Jimmie Wilson","TOT",3,0,"4%",0.8,141,481,56,127,2,63,12,54,0.264,0.34,0.351,0.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",22
22,"Hod Ford","CIN",2,0,"2%",1.9,149,506,49,122,0,54,1,47,0.241,0.308,0.291,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",18
23,"Fresco Thompson","PHI",1,0,"1%",-0.5,152,634,99,182,3,50,19,42,0.287,0.332,0.39,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"NL",23
1,"Rogers Hornsby","CHC",60,3,"75%",10.4,156,602,156,229,39,149,2,87,0.38,0.459,0.679,1.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",1
2,"Lefty O'Doul","PHI",54,NA,"68%",7.4,154,638,152,254,32,122,2,76,0.398,0.465,0.622,1.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",2
3,"Bill Terry","NYG",48,NA,"60%",4.8,150,607,103,226,14,117,10,48,0.372,0.418,0.522,0.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",9
4,"Burleigh Grimes","PIT",35,NA,"44%",5.9,33,91,11,26,0,12,0,4,0.286,0.316,0.385,0.7,17,7,3.13,1.354,33,29,2,232.2,245,11,70,62,1929,"NL",6
5,"Lloyd Waner","PIT",30,NA,"38%",3.5,151,662,134,234,5,74,6,37,0.353,0.395,0.479,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",15
6,"Red Lucas","CIN",29,NA,"36%",6.4,76,140,15,41,0,13,1,13,0.293,0.353,0.336,0.689,19,12,3.6,1.204,32,32,0,270,267,14,58,72,1929,"NL",4
7,"Pie Traynor","PIT",27,NA,"34%",2.8,130,540,94,192,4,108,13,30,0.356,0.393,0.472,0.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",18
8,"Babe Herman","BRO",24,NA,"30%",4.7,146,569,105,217,21,113,21,55,0.381,0.436,0.612,1.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",11
8,"Hack Wilson","CHC",24,NA,"30%",6.1,150,574,135,198,39,159,3,78,0.345,0.425,0.618,1.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",5
10,"Guy Bush","CHC",16,NA,"20%",2.8,50,91,5,15,0,3,1,3,0.165,0.191,0.165,0.356,18,7,3.66,1.419,50,30,8,270.2,277,16,107,82,1929,"NL",18
11,"Chuck Klein","PHI",15,NA,"19%",5.1,149,616,126,219,43,145,5,54,0.356,0.407,0.657,1.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",8
11,"Mel Ott","NYG",15,NA,"19%",7.4,150,545,138,179,42,151,6,113,0.328,0.449,0.635,1.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",2
13,"Taylor Douthit","STL",14,NA,"18%",3.2,150,613,128,206,9,62,8,79,0.336,0.416,0.471,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",16
14,"Charlie Grimm","CHC",13,NA,"16%",1,120,463,66,138,10,91,3,42,0.298,0.358,0.436,0.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",21
15,"Travis Jackson","NYG",8,0,"10%",5.7,149,551,92,162,21,94,10,64,0.294,0.367,0.49,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",7
15,"Rabbit Maranville","BSN",8,0,"10%",2.5,146,560,87,159,0,55,13,47,0.284,0.344,0.366,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",20
17,"Hughie Critz","CIN",5,0,"6%",-0.2,107,425,55,105,1,50,9,27,0.247,0.292,0.336,0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",24
18,"Bernie Friberg","PHI",4,0,"5%",0.6,128,455,74,137,7,55,1,49,0.301,0.37,0.437,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",22
19,"Pat Malone","CHC",3,0,"4%",4.8,40,105,8,22,2,11,0,4,0.21,0.239,0.295,0.534,22,10,3.57,1.442,40,30,2,267,283,12,102,166,1929,"NL",9
20,"Johnny Frederick","BRO",2,0,"2%",3.8,148,628,127,206,24,75,6,39,0.328,0.372,0.545,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",13
20,"Frankie Frisch","STL",2,0,"2%",3.2,138,527,93,176,5,74,24,53,0.334,0.397,0.484,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",16
20,"Pinky Whitney","PHI",2,0,"2%",3.7,154,612,89,200,8,115,7,61,0.327,0.39,0.482,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",14
23,"Riggs Stephenson","CHC",1,0,"1%",4.7,136,495,91,179,17,110,10,67,0.362,0.445,0.562,1.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",11
23,"Zack Taylor","TOT",1,0,"1%",0.1,98,316,37,84,1,41,0,26,0.266,0.326,0.367,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"NL",23
1,"Frankie Frisch","STL",65,NA,"81%",3.7,131,518,96,161,4,82,28,45,0.311,0.368,0.396,0.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",11
2,"Chuck Klein","PHI",55,NA,"69%",4.8,148,594,121,200,31,121,7,59,0.337,0.398,0.584,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",7
3,"Bill Terry","NYG",53,NA,"66%",6.1,153,611,121,213,9,112,8,47,0.349,0.397,0.529,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",2
4,"Woody English","CHC",30,NA,"38%",4.9,156,634,117,202,2,53,12,68,0.319,0.391,0.413,0.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",6
5,"Chick Hafey","STL",29,NA,"36%",4.2,122,450,94,157,16,95,11,39,0.349,0.404,0.569,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",9
6,"Jimmie Wilson","STL",28,NA,"35%",0.7,115,383,45,105,0,51,5,28,0.274,0.332,0.337,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",27
7,"Travis Jackson","NYG",24,NA,"30%",5.4,145,555,65,172,5,71,13,36,0.31,0.353,0.42,0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",4
8,"Charlie Grimm","CHC",21,NA,"26%",3.5,146,531,65,176,4,66,1,53,0.331,0.393,0.458,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",14
9,"Sparky Adams","STL",18,NA,"22%",1.1,143,608,97,178,1,40,16,42,0.293,0.34,0.39,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",24
10,"Ed Brandt","BSN",15,NA,"19%",6.1,34,82,11,21,0,8,1,9,0.256,0.33,0.28,0.61,18,11,2.92,1.22,33,29,2,250,228,11,77,112,1931,"NL",2
10,"Rabbit Maranville","BSN",15,NA,"19%",1,145,562,69,146,0,33,9,56,0.26,0.329,0.317,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",26
12,"Kiki Cuyler","CHC",14,NA,"18%",4.3,154,613,110,202,9,88,13,72,0.33,0.404,0.473,0.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",8
13,"Pie Traynor","PIT",12,NA,"15%",2.6,155,615,81,183,2,103,6,54,0.298,0.354,0.416,0.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",20
14,"Red Lucas","CIN",10,NA,"12%",3.6,97,153,15,43,0,17,0,12,0.281,0.333,0.307,0.641,14,13,3.59,1.261,29,29,0,238,261,10,39,56,1931,"NL",12
15,"Jim Bottomley","STL",8,0,"10%",3.1,108,382,73,133,9,75,3,34,0.348,0.403,0.534,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",16
15,"Lloyd Waner","PIT",8,0,"10%",3,154,681,90,214,4,57,7,39,0.314,0.352,0.407,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",18
17,"Jumbo Elliott","PHI",6,0,"8%",2.2,52,90,3,11,0,6,0,1,0.122,0.132,0.122,0.254,19,14,4.27,1.49,52,30,5,249,288,15,83,99,1931,"NL",21
17,"Jack Quinn","BRO",6,0,"8%",1.1,39,15,0,3,0,2,0,1,0.2,0.25,0.2,0.45,5,4,2.66,1.383,39,1,13,64.1,65,1,24,25,1931,"NL",24
19,"Neal Finn","BRO",5,0,"6%",-0,118,413,46,113,0,45,2,21,0.274,0.314,0.337,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",29
20,"Watty Clark","BRO",3,0,"4%",6.3,34,84,8,21,0,5,0,7,0.25,0.308,0.274,0.582,14,10,3.2,1.264,34,28,1,233.1,243,4,52,96,1931,"NL",1
20,"Paul Derringer","STL",3,0,"4%",2.8,35,72,2,7,0,1,0,1,0.097,0.11,0.097,0.207,18,8,3.36,1.37,35,23,2,211.2,225,9,65,134,1931,"NL",19
20,"Charlie Root","CHC",3,0,"4%",3.8,39,90,7,20,0,8,0,4,0.222,0.255,0.311,0.566,17,14,3.48,1.239,39,31,2,251,240,7,71,131,1931,"NL",10
23,"Dick Bartell","PHI",2,0,"2%",0.6,135,554,88,160,0,34,6,27,0.289,0.325,0.392,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",28
23,"Johnny Vergez","NYG",2,0,"2%",1.5,152,565,67,157,13,81,11,29,0.278,0.32,0.396,0.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",23
25,"Tony Cuccinello","CIN",1,0,"1%",5.2,154,575,67,181,2,93,1,54,0.315,0.374,0.431,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",5
25,"Freddie Fitzsimmons","NYG",1,0,"1%",3.1,35,92,16,21,4,18,0,7,0.228,0.297,0.413,0.71,18,11,3.05,1.198,35,33,0,253.2,242,16,62,78,1931,"NL",16
25,"Charlie Gelbert","STL",1,0,"1%",3.6,131,447,61,129,1,62,7,54,0.289,0.365,0.383,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",12
25,"Lefty O'Doul","BRO",1,0,"1%",3.5,134,512,85,172,7,75,5,48,0.336,0.396,0.482,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",14
25,"Glenn Wright","BRO",1,0,"1%",1.9,77,268,36,76,9,32,1,14,0.284,0.324,0.448,0.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,"NL",22
1,"Chuck Klein","PHI",78,6,"98%",6.6,154,650,152,226,38,137,20,60,0.348,0.404,0.646,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",4
2,"Lon Warneke","CHC",68,NA,"85%",6.9,35,99,8,19,0,9,0,3,0.192,0.216,0.222,0.438,22,6,2.37,1.123,35,32,0,277,247,12,64,106,1932,"NL",3
3,"Lefty O'Doul","BRO",58,NA,"72%",6.3,148,595,120,219,21,90,11,50,0.368,0.423,0.555,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",7
4,"Paul Waner","PIT",37,NA,"46%",5.5,154,630,107,215,8,82,13,56,0.341,0.397,0.51,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",8
5,"Riggs Stephenson","CHC",32,NA,"40%",3.3,147,583,86,189,4,85,3,54,0.324,0.383,0.443,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",16
6,"Bill Terry","NYG",25,NA,"31%",7.2,154,643,124,225,28,117,4,32,0.35,0.382,0.58,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",2
7,"Don Hurst","PHI",24,NA,"30%",4.7,150,579,109,196,24,143,10,65,0.339,0.412,0.547,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",9
8,"Pie Traynor","PIT",17,NA,"21%",3,135,513,74,169,2,68,6,32,0.329,0.373,0.433,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",18
9,"Billy Herman","CHC",16,NA,"20%",3.5,154,656,102,206,1,51,14,40,0.314,0.358,0.404,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",13
10,"Mel Ott","NYG",15,NA,"19%",7.9,154,566,119,180,38,123,6,100,0.318,0.424,0.601,1.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",1
11,"Bob Brown","BSN",10,NA,"12%",3.2,35,67,4,13,0,5,0,3,0.194,0.229,0.209,0.438,14,7,3.3,1.366,35,28,1,213,187,6,104,110,1932,"NL",17
12,"Babe Herman","CIN",8,0,"10%",6.6,148,577,87,188,16,87,7,60,0.326,0.389,0.541,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",4
13,"Wally Berger","BSN",6,0,"8%",3.8,145,602,90,185,17,73,5,33,0.307,0.346,0.468,0.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",10
13,"Ernie Orsatti","STL",6,0,"8%",1,101,375,44,126,2,44,5,18,0.336,0.368,0.456,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",21
13,"Lloyd Waner","PIT",6,0,"8%",3.6,134,565,90,188,2,38,6,31,0.333,0.367,0.43,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",12
13,"Hack Wilson","BRO",6,0,"8%",3.5,135,481,77,143,23,123,2,51,0.297,0.366,0.538,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",13
17,"Rabbit Maranville","BSN",5,0,"6%",-0.3,149,571,67,134,0,37,4,46,0.235,0.295,0.284,0.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",24
17,"Jimmie Wilson","STL",5,0,"6%",0,92,274,36,68,2,28,9,15,0.248,0.29,0.343,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",23
19,"Tony Cuccinello","BRO",4,0,"5%",3.4,154,597,76,168,12,77,5,46,0.281,0.337,0.415,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",15
19,"Dizzy Dean","STL",4,0,"5%",6.6,47,97,10,25,2,12,0,0,0.258,0.258,0.371,0.629,18,15,3.3,1.336,46,33,2,286,280,14,102,191,1932,"NL",4
21,"Ripper Collins","STL",3,0,"4%",1.4,149,549,82,153,21,91,4,38,0.279,0.329,0.474,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",20
21,"Frankie Frisch","STL",3,0,"4%",1,115,486,59,142,3,60,18,25,0.292,0.327,0.372,0.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",21
23,"Guy Bush","CHC",1,0,"1%",2.7,40,84,6,15,0,1,0,4,0.179,0.216,0.226,0.442,19,11,3.21,1.391,40,30,0,238.2,262,13,70,73,1932,"NL",19
23,"Arky Vaughan","PIT",1,0,"1%",3.8,129,497,71,158,4,61,10,39,0.318,0.375,0.412,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"NL",10
1,"Carl Hubbell","NYG",77,NA,"96%",8.9,45,109,6,20,1,12,0,2,0.183,0.198,0.248,0.446,23,12,1.66,0.982,45,33,5,308.2,256,6,47,156,1933,"NL",1
2,"Chuck Klein","PHI",48,NA,"60%",7.5,152,606,101,223,28,120,15,56,0.368,0.422,0.602,1.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",3
3,"Wally Berger","BSN",44,NA,"55%",6.8,137,528,84,165,27,106,2,41,0.313,0.365,0.566,0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",5
4,"Bill Terry","NYG",35,NA,"44%",3.8,123,475,68,153,6,58,3,40,0.322,0.375,0.423,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",11
5,"Pepper Martin","STL",31,NA,"39%",5.2,145,599,122,189,8,57,26,67,0.316,0.387,0.456,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",8
6,"Gus Mancuso","NYG",24,NA,"30%",1.9,144,481,39,127,6,56,0,48,0.264,0.331,0.345,0.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",22
7,"Dizzy Dean","STL",23,NA,"29%",5.7,51,105,8,19,1,12,1,3,0.181,0.204,0.267,0.47,20,18,3.04,1.171,48,34,5,293,279,11,64,199,1933,"NL",6
8,"Pie Traynor","PIT",20,NA,"25%",2.9,154,624,85,190,1,82,5,35,0.304,0.342,0.372,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",19
9,"Blondy Ryan","NYG",19,NA,"24%",1.9,146,525,47,125,3,48,0,15,0.238,0.259,0.293,0.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",22
10,"Ben Cantwell","BSN",18,NA,"22%",3,49,85,9,12,0,7,0,4,0.141,0.18,0.188,0.368,20,10,2.62,1.162,40,29,2,254.2,242,12,54,57,1933,"NL",17
10,"Al Lopez","BRO",18,NA,"22%",2.4,126,372,39,112,3,41,10,21,0.301,0.338,0.376,0.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",21
12,"Guy Bush","CHC",11,NA,"14%",3.3,41,88,4,11,0,3,0,8,0.125,0.198,0.17,0.368,20,12,2.75,1.27,41,32,2,259,261,9,68,84,1933,"NL",15
12,"Rabbit Maranville","BSN",11,NA,"14%",-1,143,478,46,104,0,38,2,36,0.218,0.274,0.266,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",27
12,"Hal Schumacher","NYG",11,NA,"14%",5.5,39,98,8,21,0,10,0,2,0.214,0.23,0.224,0.454,19,12,2.16,1.094,35,33,1,258.2,199,9,84,96,1933,"NL",7
15,"Larry French","PIT",10,NA,"12%",4.4,47,101,7,15,0,8,0,5,0.149,0.189,0.188,0.377,18,13,2.72,1.184,47,35,1,291.1,290,9,55,88,1933,"NL",10
16,"Frankie Frisch","STL",7,0,"9%",2.5,147,585,74,177,4,66,18,48,0.303,0.358,0.398,0.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",20
17,"Jim Bottomley","CIN",6,0,"8%",1.9,145,549,57,137,13,83,3,42,0.25,0.311,0.395,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",22
18,"Gabby Hartnett","CHC",5,0,"6%",3.4,140,490,55,135,16,88,1,37,0.276,0.326,0.433,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",14
18,"Joe Medwick","STL",5,0,"6%",3.8,148,595,92,182,18,98,5,26,0.306,0.337,0.497,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",11
20,"Lon Warneke","CHC",4,0,"5%",7.8,39,100,9,30,2,13,0,3,0.3,0.32,0.44,0.76,18,13,2,1.173,36,34,1,287.1,262,8,75,133,1933,"NL",2
21,"Dick Bartell","PHI",3,0,"4%",1,152,587,78,159,1,37,6,56,0.271,0.34,0.336,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",26
21,"Red Lucas","CIN",3,0,"4%",3,75,122,14,35,1,15,0,12,0.287,0.356,0.377,0.733,10,16,3.4,1.211,29,29,0,219.2,248,13,18,40,1933,"NL",17
23,"Randy Moore","BSN",2,0,"2%",3.6,135,497,64,150,8,70,3,40,0.302,0.356,0.425,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",13
23,"Arky Vaughan","PIT",2,0,"2%",7,152,573,85,180,9,97,3,64,0.314,0.388,0.478,0.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",4
25,"Spud Davis","PHI",1,0,"1%",4.7,141,495,51,173,9,65,2,32,0.349,0.395,0.473,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",9
25,"Chick Hafey","CIN",1,0,"1%",3.2,144,568,77,172,7,62,3,40,0.303,0.351,0.421,0.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,"NL",16
25,"Dolf Luque","NYG",1,0,"1%",1.1,35,19,0,5,0,1,0,0,0.263,0.263,0.263,0.526,8,2,2.69,1.17,35,0,4,80.1,75,4,19,23,1933,"NL",25
1,"Dizzy Dean","STL",78,6,"98%",9.1,51,118,15,29,2,9,1,1,0.246,0.252,0.339,0.591,30,7,2.66,1.165,50,33,7,311.2,288,14,75,195,1934,"NL",1
2,"Paul Waner","PIT",50,NA,"62%",5.8,146,599,122,217,14,90,8,68,0.362,0.429,0.539,0.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934,"NL",7
3,"Jo-Jo Moore","NYG",42,NA,"52%",3.5,139,580,106,192,15,61,5,31,0.331,0.37,0.486,0.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934,"NL",20
4,"Travis Jackson","NYG",39,NA,"49%",3.8,137,523,75,140,16,101,1,37,0.268,0.316,0.436,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934,"NL",16
5,"Mel Ott","NYG",37,NA,"46%",7.3,153,582,119,190,35,135,0,85,0.326,0.415,0.591,1.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934,"NL",3
6,"Ripper Collins","STL",32,NA,"40%",6.3,154,600,116,200,35,128,2,57,0.333,0.393,0.615,1.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934,"NL",6
7,"Bill Terry","NYG",30,NA,"38%",5.8,153,602,109,213,8,83,0,60,0.354,0.414,0.463,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934,"NL",7
8,"Curt Davis","PHI",18,NA,"22%",8.3,51,95,9,20,1,7,0,1,0.211,0.219,0.263,0.482,19,17,2.95,1.25,51,31,5,274.1,283,14,60,99,1934,"NL",2
9,"Paul Dean","STL",16,NA,"20%",5.1,39,83,6,20,0,3,0,1,0.241,0.25,0.289,0.539,19,11,3.43,1.187,39,26,2,233.1,225,19,52,150,1934,"NL",10
9,"Carl Hubbell","NYG",16,NA,"20%",7.2,49,117,9,23,0,9,0,4,0.197,0.223,0.205,0.428,21,12,2.3,1.032,49,35,8,313,286,17,37,118,1934,"NL",4
9,"Hal Schumacher","NYG",16,NA,"20%",3.8,44,117,19,28,6,15,0,2,0.239,0.258,0.453,0.711,23,10,3.18,1.306,41,36,0,297,299,16,89,112,1934,"NL",16
12,"Wally Berger","BSN",13,NA,"16%",5.1,150,615,92,183,34,121,2,49,0.298,0.352,0.546,0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934,"NL",10
